rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
1204,physical possession,6,28,28,"spacy,textacy",1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,After repartition has been finally sanctioned under the provisions of the Act and has been effected a new record of rights has to be prepared and then if all the land-owners agree to enter into possession in accordance with the scheme of re
1205,exhibition,4,30,28,spacy,0,non-informative,,,,,"Clause (n) thereof authorises- ""fixing of octroi limits and stations; providing for the exhibition of tables of octroi ; regulating, subject to any general or special orders which the State Government may make in this' behalf, the system un"
1206,composite,4,29,28,spacy,0,non-informative,,,,,"This also follows from the dictionary meaning [(Mc-Graw-Hill Dictionary of Scientific and Technical Terms (6th Edition), and P.Ramanatha Aiyar’s Advanced Law Lexicon (3rd Edition)] of the expression “composite”: (a) ‘Composite’ – “A re-reco"
1207,public auction,3,28,28,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The amount of Rs. 11,61,600/- deposited by Pasavala in support of the offer was ordered to continue in deposit with the Liquidators until the public auction was held and the bid made at the public auction was sanctioned by the District Judg"
1208,waste management,2,28,28,spacy,0,non-informative,,,,,"India has entered into a cooperation agreement with France for the construction of ERR Power Plants (10,000 MWe) at Jethapur site in Maharashtra, which also comprises of cooperation in the areas of research, safety and security, waste manag"
1209,repartition,1,29,28,spacy,0,non-informative,,,,,"Under the E. P. Holdings Consolidation and Prevention of Roop Chand vs State Of Punjab on 10 October, 1962 Fragmentation) Act, 1948, a scheme, for consolidation of holdings was framed for the petitioner's village and a repartition of the la"
1210,gra,1,29,28,spacy,0,non-informative,,,,,The GRA had been constituted to consider individuals' grievances and not a single oustee approached the GRA before filing of the writ petition.
1211,mutt,1,29,28,spacy,0,non-informative,,,,,"The motive for the commission of the crime is said to be various complaints alleged to have been made by the deceased levelling serious allegations, both against the personal character of the petitioner and also his style of functioning as "
1212,purchase tax,1,28,28,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"As registered dealers under the Punjab General Sales Tax Act, 1948, the respondents had been and are at present paying purchase tax on milk in terms o f Section 4(B) of the State Act."
1213,antecedent,1,28,28,spacy,0,non-informative,,,,,"Trivedi[6], Common Cause V. Union of India[7] and opined thus: ""If right to telecast and right to view sport games and the right to impart such information is considered to be part and parcel of Article 19(1)(a), we fail to understand why t"
1214,valid gift,1,28,28,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,Gifts made out of love and affection--Entries in account books--Whether constitute valid gift-Whether includible in net wealth of assessee--Absence of cash balance with the firm or overdraft facilities with the bank--Effect of. Commissioner
1215,preparedness,1,28,28,spacy,0,non-informative,,,,,This document has been issued as a lead document to facilitate preparation of specific site manuals by the responsible organization for emergency response plans at each site to ensure their preparedness to meet any eventuality due to site e
1216,tulsi ram,1,28,28,spacy,0,non-informative,,,,,"The sanction was not challenged before the trial court or the High Court, but Tulsi Ram vs State Of U. P on 27 September, 1962 before the Supreme Court the appellants contended that no sanction as required by s. 196A, Code of Criminal Proce"
1217,plaint schedule,1,28,28,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Though the Plaint Schedule and the preliminary decree did not mention specific Survey number(s) in Hydernagar, the Receiver claimed in his report that he studied the Revenue Records/Pahani Patriks/Khasra Pahanis and found that Survey No. 14"
1218,nuclear plant,1,28,28,spacy,0,non-informative,,,,,Safety and security of the people and the nation are of paramount importance when a nuclear plant is being set up and it is vital to have in place all safety standards in which public can have full confidence to safeguard them against risks
1219,anusuya devi,1,28,28,spacy,0,non-informative,,,,,"Anusuya Devi on 28 November, 1967 COURT 779, 1968 (1) SCWR 749, 1968 (1) SCWR 587, 1968 (1) ITJ 629, , , , 68 , 21 STC 312,"
1220,trustees,1,28,28,spacy,0,non-informative,,,,,"The four appellants are the Trustees appointed by the Nizam of Hyderabad by a Trustdeed executed by him on June 14, 1954."
1221,lord,20,57,27,spacy,0,non-informative,,,,,"Lord ;Parker, after pointing out that s. 4 of the Arbitration Act' gave a discretionary power to the Court to be exercised after it was' satisfied that there was no sufficient reason why the matter should not be referred in accordance with "
1222,relationship,19,41,27,spacy,0,non-informative,,,,,"Experience reveals that long and protracted criminal trials lead to rancour, acrimony and bitterness in the relationship amongst the parties."
1223,relative,19,31,27,spacy,0,non-informative,,,,,"The courts are receiving a large number of cases emanating from section 498-A of the Indian Penal Code which reads as under:- ""498-A. Husband or relative of husband of a woman subjecting her to cruelty.--Whoever, being the husband or the re"
1224,averment,16,30,27,spacy,0,non-informative,,,,,"According to the averments of the complaint, except for the demand of the luxury car no incident of harassment took place at Ranchi. 6."
1225,warrant,16,28,27,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"It is true that the litigation is pending for the last several years, however, we are in agreement with the contention advanced on behalf of the appellants that there are serious errors in the impugned judgment which warrants interference u"
1226,operative,14,61,27,spacy,0,non-informative,,,,,"While this would reduce the inflow of tax revenue to the extent of Rs.6.93 crores, it will assist the milk producers, and also the milk co-operatives."
1227,bombay high court,14,27,27,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
1228,communication,13,29,27,spacy,0,non-informative,,,,,"In March, 1959, however, the Board sent a further communication to the Secretary and called upon him to get the trust registered."
1229,fault,13,28,27,spacy,0,non-informative,,,,,"vs M/S Sunder Brothers Of Delhi on 20 April, 1966 Court of appeal, that the fact that the engineer, without any fault of his own, must necessarily be placed in the position of a Judge and a witness is a sufficient reason why the matter shou"
1230,weight,9,34,27,spacy,0,non-informative,,,,,"Reddy HARI SAO AND Vs. STATE OF BIHAR 15/10/1969 MITTER, G.K. MITTER, G.K. SIKRI, S.M. REDDY, P. JAGANMOHAN CITATION: 1970 (2) 823 1969 (3) 107 ACT: Indian Railways Act (9 of 1890), ss. 73 and 74 and Goods Tariff General Rules, rr. 15 and 2"
1231,police station,9,27,27,spacy,0,non-informative,,CRIMINAL,,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
1232,arise out of slp,7,27,27,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
1233,commodity,6,46,27,spacy,0,non-informative,,,,,May be the cost plus is an ideal basis where the commodity supplied is the product of a monopoly vital to human needs.
1234,public purpose,6,27,27,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,Section 24 in Chapter V (Miscellaneous) enacts that any land required by the Commission for carrying out its function under the Act shah be deemed to be needed for a public purpose and such land can be acquired by the Commission under the p
1235,letters patent,5,27,27,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,12 of the Letters Patent and s. 17 Code of Civil Procedure)
1236,order date december,5,27,27,rake,0,non-informative,TEMPORAL,,,,
1237,monitoring,4,36,27,spacy,0,non-informative,,,,,"The Ministry of Environment, Forest and Climate Change thereafter issued a Notification dated 05.09.2023 under Section 3(3) of the Environment (Protection) Act, 1986, constituting the CEC as a permanent body for “the purposes of monitoring "
1238,borough,4,27,27,spacy,0,non-informative,,,,,"no such tax shall be leviable in boroughs in which an octroi was not levied on or before the 6th July, 1917."
1239,power station,3,27,27,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"For the balance part of the Contracted Capacity, the Procurer shall pay the Tariff to the Seller, provided during such period of Natural Force Majeure Event, the balance part of the Power Station is declared to be Available for scheduling a"
1240,recruitment,2,51,27,spacy,0,non-informative,,,,,"AND WHEREAS, the Andhra Pradesh Administrative Tribunal subsequently while disposing of O.A.No.4598/97 in its order dt.22.9.1997 directed the respondents to follow the statutory rules while making recruitment to the posts of Secondary Grade"
1241,bhagalpur,2,28,27,spacy,0,non-informative,,,,,"Relevant extract from the judgment in the Habeas Corpus petition is reproduced hereunder: Harendra Rai vs The State Of Bihar on 18 August, 2023 “On coming to learn, through some newspaper report about the fracas created in the Court of 7th "
1242,impleadment,2,27,27,spacy,0,non-informative,,,,,"Subsequently, the plaint was amended M/S. Trinity Infraventures Ltd. vs M. S. Murthy on 15 June, 2023 twice in the year 1958 so as to insert paragraphs 17B, 17C and 17D. These amendments resulted in the impleadment of some additional defend"
1243,scheduled castes,2,27,27,spacy,0,non-informative,,,,,(xi) The State authorities had hastily proceeded to complete the rehabilitation process and started the power project of the Omkareshwar Dam contrary to the assurances given under the said policy for Scheduled Castes and Scheduled Tribes fa
1244,srg,1,29,27,spacy,0,non-informative,,,,,The SRG amount has been more than the compensation amount for acquisition of land.
1245,public utility undertaking,1,27,27,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"Oil and Natural Gas Commission Act, 1959 : Section 14ONGC--Whether 'public utility' undertaking--Whether obliged to supply gas for consumption of public."
1246,non−obstante clause,1,27,27,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Concerning the non−obstante clause, it was argued that the order under Para 5 of Schedule V could not have been issued in contravention of Article 371D."
1247,temporary service rules,1,27,27,spacy,1,informative,STATUTE-PROVISION,,RULE,,"On May 23, 1952, the Director General, All India Radio, passed an order bearing No. 2(1)A/50 in which it was stated that whereas the appellant had been in continuous Government service for more than three years and a declaration had been is"
1248,inspecting judge,1,27,27,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"This led to filing of a Habeas Corpus Petition before the High Court, a report submitted by the Inspecting Judge as a result of an unruly incident which occurred in the Trial Court on the date Smt."
1249,non−obstante,1,27,27,spacy,0,non-informative,,,,,Article 371D also starts with non−obstante clause and conflict between the non−obstante clause as far as possible must be resolved by way of harmonious construction of two conflicting non−obstante clauses as laid down in Jay Engineering Wor
1250,type,20,38,26,spacy,0,non-informative,ASPECT,,,,"There is no doubt that the expansion of the oil sector in recent years, including the recent construction of the HBJ pipeline, will eventually require the ONGC to set up and devise a rational and equitable scheme of distribution and supply "
1251,bona fide,16,26,26,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Bavdekar J. called upon the contributories to show the bona fides of this contention by requesting Adhyaru to raise his offer to Rs.
1252,idea,15,35,26,spacy,0,non-informative,,,,,"In October, 1961 ONGC first thought of the idea of using natural gas in addition to fuel oil in industries."
1253,omission,15,33,26,spacy,0,non-informative,,,,,"It is on the above circumstances, improvements and omissions, in the statement of Hari Singh (PW-1) that the learned counsel appearing for the accused Harjit Singh (A-1) submits that plea of self-defence of the accused should be accepted by"
1254,piece,14,34,26,spacy,0,non-informative,,,,,"According to him the cause of the incident is long pending dispute regarding the piece of land on which the complainant party had stocked their wood and Harjit Singh And vs State Of Punjab on 16 August, 2002 thereby caused obstruction to th"
1255,judge bench,13,26,26,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In Madhu Limaye v. The State of Maharashtra , a three-Judge Bench of this court held as under:- ""....."
1256,availability,12,45,26,spacy,0,non-informative,,,,,"but for the availability of gas, the consumers would have to spend more for their sources of energy."
1257,percentage,12,33,26,spacy,0,non-informative,ASPECT,,,,Then he raised some objection as to the percentage of his share and the amount found due to him.
1258,general public,12,26,26,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"Black's Law Dictionary (Fifth Edition) defines a ""public utility"" thus at p. 1108: ""Public Utility: A privately owned and operated business whose services are so essential to the general public as to justify the grant of special franchises "
1259,assure,12,26,26,spacy,0,non-informative,,,,,"19) Nitin Khandelwal and Amalendu Sahoo lay down the correct formula that where there is some contributory factor, a proportionate deduction from the assured amount would be all that the Insurance Company can aspire to deduct."
1260,chairman,11,27,26,spacy,0,non-informative,,,,,[222 D] In the present case the respondent had alleged that the Registrar Co-operative Societies had approved the termination of the contract of Managing Agency with the plaintiff and the Registrar was the Chairman of the Defendant-Society.
1261,respondent nos,11,26,26,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"On the view that the market value of the buildings was much more than their book value, the Wealth Tax Officer (Respondent No. 1) referred, under section 16A on the Wealth Tax Act, 1957, to the Valuation Officers (Respondent Nos. 2 JUDGMENT"
1262,seal,10,30,26,spacy,0,non-informative,,,,,Two days later the seal on one side of the wagon was found broken and when the wagon was examined it found to contain 197 bags of chaff instead of 251 bags of chillies.
1263,licence,10,28,26,spacy,0,non-informative,,,,,"It is argued that in English common law, the expression has a specific connotation; it refers to an entity dealing in a commodity which is commonly used by the members of the public and under a duty, in terms of a statute, licence or franch"
1264,contract act,10,26,26,spacy,1,informative,STATUTE-PROVISION,SALE-CONTRACT,RULE,,"Section 10 of the Act provides all agreements are contracts if they are made by the free consent by the parties competent to contract, for a lawful consideration and with a lawful object, and are not expressly declared to be void under the "
1265,solicitor general,10,26,26,spacy,0,non-informative,,,,,"In considering the question whether the price fixation in that case was based on proper principles and by following correct methods in accordance with section 3(3C) of the Essential Commodities Act, this Court observed in the Anakapallee ca"
1266,previous year,8,26,26,"spacy,textacy",0,non-informative,TEMPORAL,,,,"2B. (1) The value of an asset disclosed in the Balance sheet shall be taken to be- (a) in the case of an asset on which depreciation is admissible, its written down value; (b) in the case of an asset on which no depreciation is admissible, "
1267,charge sheet,8,26,26,"spacy,textacy",1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,The police investigated into the matter and filed a charge sheet against the appellant and they were convicted of the offence of cheating and the Conviction was confirmed by the High Court.
1268,advisory,7,26,26,spacy,0,non-informative,,,,,"In case of reduced quantity of domestic coal supplied by CIL, vis-à-vis the assured quantity or quantity indicated in Letter of Assurance/FSA the cost of imported/market based e-auction coal procured for making up the shortfall, shall be co"
1269,frame thereunder,7,26,26,spacy,0,non-informative,,,,,"If the arbitration agreement is not to be treated as a statutory arbitration under s. 46 of the Arbitration Act but an arbitration agreement under s. 47 of the Act, then the procedure to be followed for the arbitration under that agreement "
1270,learn advocate,7,26,26,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Even before the High Court the learned Advocate appearing for the Municipality stated that if any goods belonging to the company were actually sent outside the octroi limits the Municipality was prepared to grant refund on proof thereof, Th"
1271,flood,6,37,26,spacy,0,non-informative,,,,,"However, it is evident from the letter dated 5.10.2007 of the NVDA that the land in dispute measuring 284.03 hectares in the said five villages would not be submerged, in fact, it would be water locked, as it reads that ""some area of a vill"
1272,vacancy,6,26,26,spacy,0,non-informative,,,,,Section 6(1) obliges the landlords of premises situated in any area specified by the State Government by notification in the Official Gazette to give intimation the prescribed form to the State Government of any vacancy therein.
1273,learn attorney general,6,26,26,spacy,0,non-informative,,,,,"The learned Attorney-General appearing for Chunilal before us contended that even though on a construction of the terms of the agreement dated 3-11-1953 he had no right to the purchase of these 1936 shares, he had acquired a right to his of"
1274,lieu,6,26,26,spacy,0,non-informative,,,,,"Bankey Lal Vaidya, this court pointed out that on dissolution of partnership the assets of the firm are valued and the partner is paid a certain amount in lieu of his share of the assets, the transaction is not a sale, exchange or transfer "
1275,income tax west,5,26,26,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"In appeal to this Court, HELD : (1) In the question which was directed to be referred it was assumed that the Tribunal had before it the statement Commissioner Of Income-Tax West ... vs Smt."
1276,percent,5,26,26,spacy,0,non-informative,,,,,"[48 H; 49 A] (vi) Sub-rule (2) of Rule 2B clearly provides that where the market value of an asset exceeds its written down value or book value by more than 20 percent, the value of that asset for the purposes of Rule 2A shall be taken to b"
1277,insurance co.,5,26,26,spacy,0,non-informative,CITATION-REF,,,,"""Literalness"", observed Frankfurter, J., ""may strangle meaning"" and he went on to add in Massachusatts S. & Insurance Co."
1278,karta,5,26,26,spacy,1,informative,PARTY-ACTOR,PARTITION,ACTOR,,"The Bhaskara family contended in defence that the partnership was dissolved in 1936 and accounts were settled between the two families under a karar executed in favour of Bhaskara Gurappa Setty, the karta of the Bhaskara family, by five mem"
1279,arbitrariness,4,27,26,spacy,0,non-informative,,,,,It is now well settled as a result of the decisions of this Court in E.P. Rayappa v. State of Tamil Nadu and Maneka Gandhi v. Union of India that Article 14 strikes at arbitrariness in State action and ensures fairness and equality of treat
1280,petroleum,4,26,26,spacy,0,non-informative,,,,,"The ONGC was initially a Department of the Government of India but, in view of its expanding activities in the search for strategic and vital materials like oil, petroleum and its products it was set up as a body corporate."
1281,banking,4,26,26,spacy,0,non-informative,,,,,"According to Sheldon and Fidler's Practice and Law of Banking , a Banker should not lend money to the parties to a joint account, either by means by an overdraft or in any other way, without obtaining from each of the parties an undertaking"
1282,restitution,3,28,26,spacy,0,non-informative,,,,,But the Privy Council held that it was open in such circumstances to the plaintiff to repudiate the transaction altogether and claim a relief outside it in the form of restitution under section 65 'of the Indian Contract Act.
1283,habeas corpus,3,26,26,spacy,0,non-informative,,,,,The appellant himself challenged the detention order before the High Court of Karanataka by filing a writ of Habeas Corpus.
1284,trikamlal,1,31,26,spacy,0,non-informative,,,,,"It appears that Chunilal also about the same time thought of waiving the objections which he had raised to the purported tender by the Liquidators on 17-9-1954 and approached Trikamlal J. Patel, one of the two surviving Liquidators, hereina"
1285,tnpcb,1,27,26,spacy,0,non-informative,,,,,"KKNPP has been set up by NPCIL based on the Indo-Russia Joint Agreement under the guidance and supervision of AEC, BARC, AERB, MoEF, TNPCB, Central and State Governments etc. ARGUMENTS – FOR AND AGAINST 16."
1286,return candidate,1,26,26,spacy,0,non-informative,,,,,"Grounds for declaring elections to be void.- (1) Subject to the provisions of sub-section (2), if the District Judge is of opinion- (a) that on the date of his election a returned candidate was not qualified or was disqualified, to be chose"
1287,article 371d,1,26,26,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"Learned counsel for the appellants argued that as per the Presidential Order issued under Article 371D, aspiring candidates could not apply outside the district or zone, as the case may be."
1288,nilgiris,1,26,26,spacy,0,non-informative,,,,,"No. 125, dated 31.08.2010 which had notified an ‘Elephant Corridor’ in the Sigur Plateau of Nilgiris District and has further directed resort owners and other private land owners to vacate and hand over the vacant possession of the lands fa"
1289,physical division,1,26,26,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"When required by the Income-tax Officer to explain as to why "" the properties were not divided in definite portions as required by Section 171 of the Act, the assessee stated that physical division of the properties in question amongst the "
1290,company judge,1,26,26,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The sale was confirmed by the Company judge.
1291,defendant bhagwandas,1,26,26,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Regarding defendant Bhagwandas, the Court found that he was occupying the property as a tenant and was paying rent of Rs.10 per month to Hiralal."
1292,sivalinga nadar,1,26,26,spacy,0,non-informative,,,,,"In the meantime, on 23rd January, 1987, advocate for Sivalinga Nadar served notice on the Registrar not to register the document and threatened to take proceedings in Court if the document was registered."
1293,cirp,1,26,26,spacy,0,non-informative,,,,,"3 ‘CIRP’ for short. declined to interfere with the order dated 09.08.2018, passed by the National Company Law Tribunal, Mumbai Bench4 in CP(IB)- 488/I&BP/MB/2018, for commencement of CIRP as prayed for by the respondent No. 2."
1294,tenure holder,1,26,26,spacy,1,informative,LEGAL-CONCEPT,REVENUE-TENURE,ISSUE,,The view taken by the High Court gives rise to pre-supposition (a fiction) of partition of agricultural land amongst the tenure-holder and his major sons.
1295,feature,24,69,25,spacy,0,non-informative,ASPECT,,,,"These Nawab Zain Yar Jung And Others vs The Director Of Endowments And Others on 9 April, 1962 several features of the trust support the conclusion that the trust is not a wakf and does not fall within the provision of the Act."
1296,primary,18,36,25,spacy,0,non-informative,,,,,"Again, it must be remembered that though the words used are the primary and ordinarily the most reliable, source of interpreting the meaning of any writing, be it a statute, a contract, or anything else, it is one of the surest indexes of a"
1297,question arise,17,25,25,rake,0,non-informative,ASPECT,,,,
1298,analysis,14,35,25,spacy,0,non-informative,ASPECT,,,,Analysis of Clauses (a) and (b) of section 4(1) make it clear that there is a great difference between the cases covered by clause (b).
1299,constitution bench,14,25,25,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"The cases on this topic have been reviewed and the limitations on judicial review of price fixations fully discussed recently by a Constitution Bench of this Court in M/s Shri Sitaram Sugar Company Ltd. & Another v. Union, ."
1300,harm,13,32,25,spacy,0,non-informative,,,,,"The appellants had by deceiving the Station Master induced him to deliver a railway receipt which they had used as a valuable security but, the false representation made by them in obtaining the receipt, in the form in which it was issued, "
1301,withdrawal,12,26,25,spacy,0,non-informative,,,,,"Of Karnataka & on 19 September, 2011 Advisory Board for withdrawal of the detention order."
1302,allowance,11,51,25,spacy,0,non-informative,,,,,"All throughout they harped on the thermal equivalence and furnace oil equivalance and the prices in U.S.A. and the prices of crude, but did not allow the Court to have the bare glimpse of what could possibly be the well-head price of gas, b"
1303,civil suit,11,25,25,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,The present appeal is filed against the judgment and order passed by the High Court of Madhya Pradesh at Jabalpur in Second Appeal No. 396 of 1998 by which the High Court confirmed the judgment and order passed by the Court of First Additio
1304,north,10,25,25,spacy,0,non-informative,,,,,A public road and two drains on the north and south of that road ran through the respondent's land.
1305,profession,9,31,25,spacy,0,non-informative,,,,,"In the proposal form which was submitted to the respondent company, Mahajan Deolal mentioned the name of one Motilal Nayak, by profession a doctor, as a personal friend who best knew the state of the health and habits etc. of the insured."
1306,efficiency,9,28,25,spacy,0,non-informative,,,,,The efficiency of the administration was 4 (1955)
1307,assessment year,9,25,25,spacy,0,non-informative,TEMPORAL,,,,"During the assessment year 1962-63, the corresponding accounting year being the financial year ending 31st March, 1962, in respect of goods partly of raw materials and partly of semi-finished needles gifted by their collaborators in West Ge"
1308,speech,7,30,25,spacy,0,non-informative,,,,,"Lord Moulton after tracing the growth of the law of arbitration made the following observations in his speech: ""But, My Lords, it must be remembered that these arbitration clauses must be taken to have been inserted with due regard to the e"
1309,federal court,7,25,25,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Section 204 of that Act provided for conferment of original jurisdiction on the Federal Court of India.
1310,legal heir,7,25,25,spacy,1,informative,PARTY-ACTOR,SUCCESSION-INHERITANCE,ACTOR,,"Shirinbai, defendant No' 1, filed a written statement denying that the plaintiffs or the pro forma defendants were the legal heirs of the testator and pleaded inter alia that the provisions of section 67 of the Indian Succession Act were no"
1311,compensatory,6,30,25,spacy,0,non-informative,,,,,"In the assessment of compensation, the emphasis has to be on the compensatory and not on punitive element."
1312,eye witness,6,25,25,"spacy,textacy",1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"From the cross-examination of Hari Singh (PW-1), brother of the deceased, it is pointed out to us that version of giving of Lalkaras by the (SIC) member of the second party who had rushed towards the scene is a material improvement over ver"
1313,disadvantage,5,28,25,spacy,0,non-informative,,,,,This disadvantage the Southern factories do not have.
1314,lodging,5,25,25,spacy,0,non-informative,,,,,"DATE OF JUDGMENT28/02/1985 TULZAPURKAR, V.D. TULZAPURKAR, V.D. KHALID, V. (J) CITATION: 1985 (2)1051 1985 (2) 279 1985 (1)360 ACT: Bombay Rents, hotel and Lodging House Rates Control Act, 1947, Section 50 Suit for possession under Transfer "
1315,family property,4,25,25,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"He must have thanked his stars for getting back his family property Haji T.M. Hassan Rawther vs Kerala Financial Corporation on 17 November, 1987 which was so dear to him or which was according to him so valuable."
1316,scheduled tribes,3,25,25,spacy,0,non-informative,,,,,"Special care would be taken of the families of Scheduled Castes, Scheduled Tribes, marginal farmers and small farmers."
1317,lakshmanan,2,70,25,spacy,0,non-informative,,,,,Lakshmanan.
1318,policy holder,2,25,25,spacy,0,non-informative,ASPECT,,,,"Thereupon, the appellant filed a suit to recover the amount of the policy contending that s. 45 Insurance Act, barred the company from calling in question the policy after two years on the ground that any statement made in the proposal was "
1319,special bench,2,25,25,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Rule 84 framed by the State Government under s. 49(4) of the Act reads as follows:- "" For the purposes of trial or decision of any case or proceeding parties of which are residents of different circles or different districts or any one of t"
1320,ankush shivaji gaikwad,1,25,25,spacy,0,non-informative,,,,,"Ankush Shivaji Gaikwad vs State Of Maharashtra on 3 May, 2013 3044, SC( CRI) 1435, 2013 (4) ABR 648, (2013) 4 MPHT 249, (2013) 127 ALLINDCAS 209 (SC), (2013) 2 DLT(CRL) 483, (2013) 3 ALLCRILR 794, (2013) 3 MH LJ (CRI) 549, (2014) 57 OCR 178"
1321,financial capacity,1,25,25,spacy,0,non-informative,ASPECT,,,,"Vs. INDUSTRIAL TRIBUNAL, A.P. & DATE OF JUDGMENT26/08/1971 ACT: Industrial Dispute-Recommendations of Central Wage Board for sugar whether vitiated by fact that it had fixed uniform wages region wise without further classification within ea"
1322,scheduled area,1,25,25,spacy,0,non-informative,ASPECT,,,,"For instance, the power under clause (1) of Para 5 to extend a Central or State legislation to the scheduled area, ""subject to exceptions and modifications,"" confer a power to amend the legislation."
1323,returning officer,1,25,25,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The validity of the election was called in question on the sole ground that he had filed a false declaration suppressing the details of criminal cases pending trial against him and, therefore, his nomination deserved to be rejected by the R"
1324,indra sawhney,1,25,25,spacy,0,non-informative,,,,,"Elaborately referred to the decision in Indra Sawhney & v. Union of India & , (1992)"
1325,detenue,1,25,25,spacy,0,non-informative,,,,,"According to the Detaining Authority, the appellantdetenue, when he was 30 years old, started his career in criminal field by committing offences like murder, attempt to murder, dacoity, rioting, assault, damaging the public property, provo"
1326,nuclear installation,1,25,25,spacy,0,non-informative,,,,,The purpose of these Safety Guidelines is to lay down the requirements of the Regulatory Body for the operating organization and state public authorities in preparing an emergency response plan for offsite emergency for the nuclear installa
1327,mrs. shirinbai,1,25,25,spacy,0,non-informative,,,,,The will was attested by two witnesses one of whom was the husband of Mrs. Shirinbai.
1328,ravi subramaniam,1,25,25,spacy,0,non-informative,,,,,"Except for respondent No. 5, P. Subramaniam @ Ravi Subramaniam, who has been granted pardon and has turned approver, the remaining co-accused, namely, respondent Nos. 6 to 28 are supporting the prayer for transfer of the case and some of th"
1329,octroi limit,1,25,25,spacy,0,non-informative,,,,,The appellant company deals in petrol and other petroleum products which it manufactures in its refineries situated outside the octroi limits of Belgaum Municipality.
1330,nuclear power plant,1,25,25,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"We are in these appeals concerned with an issue of considerable national and international importance, pertaining to the setting up of a nuclear power plant in the South-Eastern tip of India, at Kudankulam in the State of Tamil Nadu."
1331,industrial tribunal,1,25,25,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Management Of The Kirlampudi Sugar ... vs Industrial Tribunal, A.P. & on 26 August, 1971 491, 24 FAC L R 264, 40 F J R 81 MANAGEMENT OF THE KIRLAMPUDI SUGAR MILLS LTD."
1332,eia notification,1,25,25,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"Further it was stated that no construction was started after getting the above clearance, but only in the year 2002, by the time 1994 EIA Notification came into force, consequently, fresh environmental clearance had to be obtained."
1333,thermal equivalence,1,25,25,spacy,0,non-informative,,,,,"Dr. Rao made the ""cost plus"" method the basis of his award in preference to the basis of thermal equivalence of alternate fuel (thermal equivalence basis)."
1334,element,25,69,24,spacy,0,non-informative,ASPECT,,,,"In other words, there should be an element of profit in the prices of their products or in the cost of their services to the public."
1335,thereon,25,34,24,spacy,0,non-informative,,,,,"Under s.58 of the Indian Railways Act the owner or person having charge of any goods which are brought upon a railway for the purpose of being carried thereon, has to deliver to a railway servant appointed in that behalf an Hari Sao"
1336,affair,15,26,24,spacy,0,non-informative,,,,,It is not the function of the Board to so manage its affairs as to earn the maximum profit; even as a private corporate body may be inspired to earn huge profits with a view to paying large dividends to its shareholders.
